acl 2.3.1-3
libxi 1.8-2
libxinerama 1.1.5-1
libxkbcommon 1.5.0-1
libxkbcommon-x11 1.5.0-1
libxkbfile 1.1.2-1
libxklavier 5.4-3
libxml2 2.10.3-2
libxmu 1.1.4-1
libxnvctrl 525.89.02-1
libxrandr 1.5.3-1
libxrender 0.9.11-1
libxshmfence 1.3.2-1
libxslt 1.1.37-2
libxss 1.2.3-4
libxt 1.2.1-1
libxtst 1.2.4-1
libxv 1.0.12-1
libxxf86vm 1.1.5-1
libyaml 0.2.5-2
libyuv r2322+3aebf69d-1
licenses 20220125-1
lightdm 1:1.32.0-4
lightdm-gtk-greeter 1:2.0.8-3
lilv 0.24.20-1
linux 6.1.12.arch1-1
linux-api-headers 6.1.9-1
linux-firmware 20230210.bf4115c-1
linux-firmware-whence 20230210.bf4115c-1
llvm-libs 15.0.7-1
lm_sensors 1:3.6.0.r41.g31d1f125-2
lua 5.4.4-3
luajit 2.1.0.beta3.r467.gd0e88930-1
lv2 1.18.10-1
lvm2 2.03.19-1
lz4 1:1.9.4-1
lzo 2.10-5
m4 1.4.19-2
make 4.4-1
md4c 0.4.8-1
mdadm 4.2-2
mesa 22.3.5-1
minizip 1:1.2.13-2
mkinitcpio 34-2
mkinitcpio-busybox 1.35.0-1
mpfr 4.2.0-3
mpg123 1.31.2-2
msgpack-c 5.0.0-1
mtdev 1.1.6-2
nano 7.2-1
nautilus 43.2-1
ncurses 6.4-1
ndctl 75-1
neovim 0.8.3-1
nerd-fonts-noto-sans-regular-complete 2.2.2-0
nettle 3.8.1-1
node-gyp 9.3.1-1
nodejs 19.6.1-1
nodejs-nopt 7.0.0-1
noto-fonts 20230201-1
npm 8.19.2-1
npth 1.6-3
nspr 4.35-1
nss 3.88.1-1
nvidia 525.89.02-3
nvidia-settings 525.89.02-1
nvidia-utils 525.89.02-2
nvim-packer-git r566.1d0cf98-1
ocl-icd 2.3.1-1
oh-my-zsh-git r6794.87f1941d2-1
opencore-amr 0.1.6-1
openjpeg2 2.5.0-2
openssh 9.2p1-1
openssl 3.0.8-1
opus 1.3.1-3
orc 0.4.33-1
osinfo-db 20221130-1
p11-kit 0.24.1-1
packer 1.8.5-1
pacman 6.0.2-5
pacman-mirrorlist 20221204-1
pam 1.5.2-1
pambase 20221020-1
pamixer 1.6-2
pango 1:1.50.12-1
pangomm 2.46.3-1
parted 3.5-1
patch 2.7.6-9
pavucontrol 1:5.0+r61+gee77d86-2
pciutils 3.9.0-2
pcre 8.45-3
pcre2 10.42-2
pcsclite 1.9.9-2
perl 5.36.0-3
perl-error 0.17029-4
perl-font-freetype 0.16-1
perl-mailtools 2.21-6
perl-timedate 2.33-4
picom 10.2-1
pinentry 1.2.1-1
pipewire 1:0.3.66-2
pipewire-alsa 1:0.3.66-2
pipewire-audio 1:0.3.66-2
pipewire-pulse 1:0.3.66-2
pixman 0.42.2-1
pkgconf 1.8.0-1
polkit 122-1
polybar 3.6.3-3
poppler 23.02.0-1
poppler-glib 23.02.0-1
popt 1.19-1
procps-ng 3.3.17-1
psmisc 23.6-1
python 3.10.9-1
python-cairo 1.23.0-3
python-gobject 3.42.2-1
qpwgraph 0.3.9-1
qt5-base 5.15.8+kde+r181-1
qt5-declarative 5.15.8+kde+r24-2
qt5-svg 5.15.8+kde+r8-1
qt5-translations 5.15.8-1
qt5-wayland 5.15.8+kde+r58-1
qt5-x11extras 5.15.8-1
qt6-base 6.4.2-1
qt6-svg 6.4.2-1
qt6-translations 6.4.2-1
rav1e 0.6.3-1
re2 1:20230201-1
readline 8.2.001-2
rofi 1.7.5-1
rxvt-unicode 9.31-1
rxvt-unicode-terminfo 9.31-1
sbc 2.0-1
sdl2 2.26.3-1
sed 4.9-2
semver 7.3.8-1
serd 0.30.16-1
shadow 4.13-2
shared-mime-info 2.2+13+ga2ffb28-1
slack-desktop 4.29.149-1
smartmontools 7.3-1
snappy 1.1.9-2
sord 0.16.14-1
sound-theme-freedesktop 0.8-5
speex 1.2.1-1
speexdsp 1.2.1-1
sqlite 3.40.1-1
sratom 0.6.14-1
srt 1.5.1-3
ssh-tools 1.7-2
startup-notification 0.12-7
sudo 1.9.13-1
svt-av1 1.4.1-1
sxhkd 0.6.2-2
sysfsutils 2.1.1-1
systemd 253-1
systemd-libs 253-1
systemd-sysvcompat 253-1
tar 1.34-1
tdb 1.4.8-1
texinfo 7.0.2-2
thin-provisioning-tools 1.0.2-1
tinycompress 1.2.8-1
totem-pl-parser 3.26.6-2
tpm2-tss 3.2.0-3
tracker3 3.4.2-2
tracker3-miners 3.4.3-1
tree-sitter 0.20.7-1
tslib 1.22-1
ttf-breeze-sans 20150728-3
ttf-daddytime-mono-nerd 2.3.3-2
ttf-dejavu 2.37+18+g9b5d1b2f-3
ttf-droid 20121017-10
ttf-font-awesome 6.3.0-1
ttf-hack 3.003-3
ttf-hack-nerd 2.3.3-2
ttf-icomoon-feather 1.0-1
ttf-inconsolata 1:3.000-3
ttf-jetbrains-mono 2.304-1
ttf-liberation 2.1.5-1
ttf-material-icons-git 4.0.0.r61.g511eea577b2-1
ttf-nerd-fonts-symbols-1000-em-mono 2.3.3-1
ttf-nerd-fonts-symbols-2048-em 2.3.3-1
ttf-nerd-fonts-symbols-common 2.3.3-1
ttf-opensans 1.101-2
ttf-roboto 2.138-4
ttf-scientifica 2.3-0
ttf-share-gf r855.9f59b2e9-2
ttf-ubuntu-font-family 0.83-8
ttf-ubuntu-mono-nerd 2.3.3-2
ttf-ubuntu-nerd 2.3.3-2
tzdata 2022g-2
udisks2 2.9.4-1
unibilium 2.1.1-1
unzip 6.0-19
upower 1.90.0-3
usbmuxd 1.1.1-2
util-linux 2.38.1-1
util-linux-libs 2.38.1-1
v4l-utils 1.22.1-1
vid.stab 1.1-3
vim 9.0.1302-1
vim-runtime 9.0.1302-1
vmaf 2.3.1-1
volume_key 0.3.12-7
vulkan-headers 1:1.3.240-1
vulkan-icd-loader 1.3.240-1
vulkan-intel 22.3.5-1
vulkan-radeon 22.3.5-1
wayland 1.21.0-2
webrtc-audio-processing 0.3.1-3
wget 1.21.3-1
which 2.21-6
wireless_tools 30.pre9-3
wireplumber 0.4.13-1
woff2 1.0.2-4
wpa_supplicant 2:2.10-8
wpa_supplicant_gui 2.10-1
x264 3:0.164.r3095.baee400-4
x265 3.5-3
xcb-proto 1.15.2-2
xcb-util 0.4.1-1
xcb-util-cursor 0.1.4-1
xcb-util-image 0.4.1-2
xcb-util-keysyms 0.4.1-4
xcb-util-renderutil 0.3.10-1
xcb-util-wm 0.4.2-1
xcb-util-xrm 1.3-2
xdg-utils 1.1.3+25+g8ae0263-1
xdo 0.5.7-2
xf86-input-libinput 1.2.1-1
xf86-video-amdgpu 22.0.0-1
xf86-video-ati 1:19.1.0.r15.g7a6a34af-1
xf86-video-nouveau 1.0.17-2
xf86-video-vmware 13.4.0-1
xfsprogs 6.1.1-2
xkeyboard-config 2.38-1
xorg-fonts-encodings 1.0.6-1
xorg-mkfontscale 1.2.2-1
xorg-server 21.1.7-1
xorg-server-common 21.1.7-1
xorg-setxkbmap 1.3.3-1
xorg-xauth 1.1.2-1
xorg-xinit 1.4.2-1
xorg-xkbcomp 1.4.6-1
xorg-xmodmap 1.0.11-1
xorg-xprop 1.2.6-1
xorg-xrandr 1.5.2-1
xorg-xrdb 1.2.1-1
xorg-xset 1.2.5-1
xorgproto 2022.2-1
xvidcore 1.3.7-2
xz 5.4.1-1
yay-git 11.3.1.r100.g4f50b79-1
zimg 3.0.4-1
zlib 1:1.2.13-2
zoom 5.13.7-1
zram-generator 1.1.2-1
zsh 5.9-3
zstd 1.5.2-8
